pid,gender,condition,orig1,prac1,orig2,prac2,final_orig,final_prac,difference1,difference2,difference
1,F,Explore,3,1,4,2,3.5,1.5,3,4,3.5
2,F,Explore,4,3,4,3,4,3,3,2,2.5
3,F,Exploit,2,4,2,4,2,4,1,2,1.5
4,F,Explore,4,4,4,4,4,4,4,4,4
5,F,Exploit,2,2,2,2,2,2,2,1,1.5
6,F,Exploit,3,4,3,4,3,4,1,1,1
7,F,Explore,3,2,4,2,3.5,2,1,1,1
8,F,Exploit,3,4,3,4,3,4,2,2,2
9,F,Explore,3,2,3,2,3,2,1,1,1
10,M,Exploit,2,4,2,3,2,3.5,4,4,4
11,F,Explore,2,3,2,3,2,3,4,3,3.5
12,F,Exploit,2,2,2,2,2,2,2,2,2
13,F,Explore,4,1,4,2,4,1.5,4,4,4
14,F,Exploit,2,3,2,3,2,3,2,3,2.5
15,F,Explore,3,3,3,3,3,3,2,2,2
16,F,Exploit,3,3,2,3,2.5,3,1,1,1
17,F,Exploit,4,4,3,3,3.5,3.5,2,2,2
18,F,Exploit,4,4,3,4,3.5,4,3,3,3
19,M,Explore,4,2,4,3,4,2.5,4,4,4
20,F,Exploit,2,4,2,3,2,3.5,4,4,4
21,F,Explore,3,4,2,3,2.5,3.5,3,3,3
22,F,Exploit,2,4,2,3,2,3.5,2,2,2
23,F,Explore,4,4,4,4,4,4,4,4,4
24,F,Explore,2,4,2,4,2,4,3,3,3
25,M,Exploit,4,1,4,1,4,1,1,1,1
26,M,Explore,4,4,4,2,4,3,4,3,3.5
27,F,Exploit,3,3,3,3,3,3,2,3,2.5
28,M,Exploit,2,4,2,4,2,4,2,3,2.5
29,F,Explore,3,4,4,3,3.5,3.5,4,4,4
30,M,Explore,2,3,3,3,2.5,3,1,1,1
31,F,Explore,3,3,4,3,3.5,3,4,4,4
32,M,Exploit,3,4,2,4,2.5,4,2,2,2
33,F,Exploit,1,2,1,2,1,2,1,1,1
34,F,Explore,1,4,2,2,1.5,3,4,4,4
35,F,Explore,4,2,4,2,4,2,3,3,3
36,M,Explore,4,2,4,2,4,2,3,2,2.5
37,F,Exploit,2,4,1,4,1.5,4,1,1,1
38,M,Exploit,4,3,3,3,3.5,3,1,1,1
39,F,Explore,3,3,3,3,3,3,2,1,1.5
40,F,Explore,3,4,3,4,3,4,3,2,2.5
41,F,Explore,3,4,3,4,3,4,4,4,4
42,M,Exploit,4,4,4,3,4,3.5,3,2,2.5
43,M,Exploit,2,2,2,2,2,2,3,3,3
44,M,Exploit,1,2,1,1,1,1.5,1,1,1
45,M,Exploit,1,2,1,2,1,2,1,1,1
46,M,Explore,3,3,3,3,3,3,3,2,2.5
47,M,Explore,4,2,4,1,4,1.5,3,4,3.5
48,F,Exploit,3,2,3,2,3,2,4,4,4
49,F,Exploit,2,3,2,4,2,3.5,2,2,2
50,M,Explore,4,1,4,2,4,1.5,4,4,4
